Description,Offense,Punishment,Section,combined_text,label
"Description of IPC Section 122
According to section 122 of Indian penal code, Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the Government of India, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.


IPC 122 in Simple Words
If someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the Government of India, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,IPC_122,"ipc_122 collecting arms, etc., with the intention of waging war against the government of india description of ipc section 122
according to section 122 of indian penal code, whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the government of india, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.


ipc 122 in simple words
if someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the government of india, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined. imprisonment for life or 10 years + fine",1
"Description of IPC Section 121A
According to section 121A of Indian penal code, Whoever within or without India conspires to commit any of the offences punishable by section 121, or conspires to overawe, by means of criminal force or the show of criminal force, the Central Government or any State Government, shall be punished with imprisonment for life, or with imprisonment of either description which may extend to ten years, and shall also be liable to fine.


IPC 121A in Simple Words
Section 121A of the Indian Penal Code states that anyone who conspires to commit certain serious offences or intends to use criminal force against the Central Government or any State Government may face punishment of life imprisonment or imprisonment up to ten years, along with a possible fine.",Conspiring to commit certain offences against the State,Imprisonment for Life or 10 Years + Fine,IPC_121A,"ipc_121a conspiring to commit certain offences against the state description of ipc section 121a
according to section 121a of indian penal code, whoever within or without india conspires to commit any of the offences punishable by section 121, or conspires to overawe, by means of criminal force or the show of criminal force, the central government or any state government, shall be punished with imprisonment for life, or with imprisonment of either description which may extend to ten years, and shall also be liable to fine.


ipc 121a in simple words
section 121a of the indian penal code states that anyone who conspires to commit certain serious offences or intends to use criminal force against the central government or any state government may face punishment of life imprisonment or imprisonment up to ten years, along with a possible fine. imprisonment for life or 10 years + fine",0
"Description of IPC Section 122
According to section 122 of Indian penal code, Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the Government of India, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.


IPC 122 in Simple Words
If someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the Government of India, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,IPC_122,"ipc_122 collecting arms, etc., with the intention of waging war against the government of india description of ipc section 122
according to section 122 of indian penal code, whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the government of india, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.


ipc 122 in simple words
if someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the government of india, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined. imprisonment for life or 10 years + fine",1
"Description of IPC Section 124
According to section 124 of Indian penal code, Whoever, with the intention of inducing or compelling the President of India, or Governor of any State, to exercise or refrain from exercising in any manner any of the lawful powers of such President or Governor, assaults or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe, such President or Governor, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 124 in Simple Words
If someone assaults or wrongfully restrains the President of India or Governor of a State with the intention of influencing their lawful powers, they can be punished with imprisonment of up to seven years and may also be fined.","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",7 Years + Fine,IPC_124,"ipc_124 assaulting president, governor, etc., with intent to compel or restrain the exercise of any lawful power description of ipc section 124
according to section 124 of indian penal code, whoever, with the intention of inducing or compelling the president of india, or governor of any state, to exercise or refrain from exercising in any manner any of the lawful powers of such president or governor, assaults or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe, such president or governor, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


ipc 124 in simple words
if someone assaults or wrongfully restrains the president of india or governor of a state with the intention of influencing their lawful powers, they can be punished with imprisonment of up to seven years and may also be fined. 7 years + fine",2
"Description of IPC Section 124A
According to section 124A of Indian penal code, Whoever by words, either spoken or written, or by signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards, the Government established by law in India, a shall be punished with imprisonment for life, to which fine may be added, or with imprisonment which may extend to three years, to which fine may be added, or with fine.


IPC 124A in Simple Words
Section 124A of the Indian Penal Code punishes those who attempt to bring hatred, contempt, or disaffection towards the Government of India through spoken or written words, signs, or visible representations, with either life imprisonment or imprisonment up to three years, along with a possible fine.",Sedition,Imprisonment for Life + Fine or 3 Years + Fine or Fine,IPC_124A,"ipc_124a sedition description of ipc section 124a
according to section 124a of indian penal code, whoever by words, either spoken or written, or by signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards, the government established by law in india, a shall be punished with imprisonment for life, to which fine may be added, or with imprisonment which may extend to three years, to which fine may be added, or with fine.


ipc 124a in simple words
section 124a of the indian penal code punishes those who attempt to bring hatred, contempt, or disaffection towards the government of india through spoken or written words, signs, or visible representations, with either life imprisonment or imprisonment up to three years, along with a possible fine. imprisonment for life + fine or 3 years + fine or fine",3
"Description of IPC Section 125
According to section 125 of Indian penal code, Whoever wages war against the Government of any Asiatic Power in alliance or at peace with the Government of India or attempts to wage such war, or abets the waging of such war, shall be punished with imprisonment for life, to which fine may be added, or with imprisonment of either description for a term which may extend to seven years, to which fine may be added, or with fine.


IPC 125 in Simple Words
If someone wages war against or attempts to wage war against a Government of an Asian country allied or at peace with India, or aids in doing so, they can be punished with life imprisonment, or imprisonment of up to seven years, and may also be fined.","Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war",Imprisonment for Life + Fine or 7 Years + Fine or Fine,IPC_125,"ipc_125 waging war against any asiatic power in alliance or at peace with the government of india, or abetting the waging of such war description of ipc section 125
according to section 125 of indian penal code, whoever wages war against the government of any asiatic power in alliance or at peace with the government of india or attempts to wage such war, or abets the waging of such war, shall be punished with imprisonment for life, to which fine may be added, or with imprisonment of either description for a term which may extend to seven years, to which fine may be added, or with fine.


ipc 125 in simple words
if someone wages war against or attempts to wage war against a government of an asian country allied or at peace with india, or aids in doing so, they can be punished with life imprisonment, or imprisonment of up to seven years, and may also be fined. imprisonment for life + fine or 7 years + fine or fine",4
"Description of IPC Section 126
According to section 126 of Indian penal code, Whoever commits depredation, or makes preparations to commit depredation, on the territories of any Power in alliance or at peace with the Government of India, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation, or acquired by such depredation.


IPC 126 in Simple Words
If someone commits or prepares to commit any harmful act on the territories of a country allied or at peace with India, they can be punished with imprisonment of up to seven years, fined, and any property used or gained in the act can be forfeited.",Committing depredation On the territories of any power in alliance or at peace with the Government of India,7 Years + Fine + forfeiture of property,IPC_126,"ipc_126 committing depredation on the territories of any power in alliance or at peace with the government of india description of ipc section 126
according to section 126 of indian penal code, whoever commits depredation, or makes preparations to commit depredation, on the territories of any power in alliance or at peace with the government of india, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation, or acquired by such depredation.


ipc 126 in simple words
if someone commits or prepares to commit any harmful act on the territories of a country allied or at peace with india, they can be punished with imprisonment of up to seven years, fined, and any property used or gained in the act can be forfeited. 7 years + fine + forfeiture of property",5
"Description of IPC Section 140
According to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 140 in Simple Words
If someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,IPC_140,"ipc_140 wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman description of ipc section 140
according to section 140 of indian penal code, whoever, not being a soldier, sailor or airman in the military, naval or air service of the government of india, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


ipc 140 in simple words
if someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both. 3 months or fine or both",15
"Description of IPC Section 153
According to section 153 of Indian penal code, Whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall, if the offence of rioting be committed in consequence of such provocation, be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both, and if the offence of rioting be not committed, with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 153 in Simple Words
If someone intentionally provokes another person in a way that may lead to a riot, they can be punished with up to one year in jail, a fine, or both if a riot occurs, and up to six months in jail, a fine, or both if a riot doesn't happen.","Wantonly giving provocation with intent to cause riot, If rioting be committed",1 Year or Fine or Both,IPC_153,"ipc_153 wantonly giving provocation with intent to cause riot, if rioting be committed description of ipc section 153
according to section 153 of indian penal code, whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall, if the offence of rioting be committed in consequence of such provocation, be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both, and if the offence of rioting be not committed, with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


ipc 153 in simple words
if someone intentionally provokes another person in a way that may lead to a riot, they can be punished with up to one year in jail, a fine, or both if a riot occurs, and up to six months in jail, a fine, or both if a riot doesn't happen. 1 year or fine or both",21
"Description of IPC Section 153A
According to section 153A of Indian penal code,
Whoever
by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or
commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or
organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Offence committed in place of worship, etc â€” Whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.


IPC 153A in Simple Words
Section 153A of the Indian Penal Code punishes those who promote disharmony or feelings of hatred between different religious, racial, language, or regional groups, or engage in acts prejudicial to maintaining harmony, with imprisonment up to three years, or fine, or both, and up to five years of imprisonment with fine if the offence is committed in a place of worship or during religious ceremonies.",Promoting enmity between classes,3 Years or Fine or Both,IPC_153A,"ipc_153a promoting enmity between classes description of ipc section 153a
according to section 153a of indian penal code,
whoever
by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or
commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or
organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
offence committed in place of worship, etc â€” whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.


ipc 153a in simple words
section 153a of the indian penal code punishes those who promote disharmony or feelings of hatred between different religious, racial, language, or regional groups, or engage in acts prejudicial to maintaining harmony, with imprisonment up to three years, or fine, or both, and up to five years of imprisonment with fine if the offence is committed in a place of worship or during religious ceremonies. 3 years or fine or both",22
"Description of IPC Section 153AA
According to section 153AA of Indian penal code,
Whoever
by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or
commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or
organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Offence committed in place of worship, etc â€” Whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.


IPC 153AA in Simple Words
Section 153AA of the Indian Penal Code punishes those who promote or attempt to promote disharmony or hatred between different religious, racial, language, or regional groups, or engage in activities intending to use criminal force or violence against any such group, with imprisonment up to three years, or fine, or both, and up to five years of imprisonment with fine if the offence is committed in a place of worship or during religious ceremonies.",Promoting enmity between classes,3 Years or Fine or Both,IPC_153AA,"ipc_153aa promoting enmity between classes description of ipc section 153aa
according to section 153aa of indian penal code,
whoever
by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or
commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or
organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
offence committed in place of worship, etc â€” whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.


ipc 153aa in simple words
section 153aa of the indian penal code punishes those who promote or attempt to promote disharmony or hatred between different religious, racial, language, or regional groups, or engage in activities intending to use criminal force or violence against any such group, with imprisonment up to three years, or fine, or both, and up to five years of imprisonment with fine if the offence is committed in a place of worship or during religious ceremonies. 3 years or fine or both",23
